yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
  139,   3.3570,  48.9445,  23.9351,  -7.0774,  94.4765,   3.5136,   2.0083,   4.0339,  38.0105, 6.6385e+03,   796,  0.93497 
  140,   3.3610, 312.7901,  35.2002, -267.4106,  38.7167, 10229.7516,  56.0962, 10230.4981,  69.1245, 8.2570e+03,   796,  1.30161 
  141,   3.3650, 363.2062,  36.4595, -317.7862,  39.8817, 10932.8082,  50.2635, 10933.4469,  60.4520, 6.3002e+03,   796,  0.92793 
  142,   3.3690,  61.1553,  27.7488, -22.2776,  57.1030,  24.1597,   5.0597,  24.8589,  21.4558, 8.0900e+03,   796,  0.96269 
  144,   3.3770, 107.5456,  43.4935, -97.6216,  48.1256, 8622.0729, 179.4391, 8622.6221, 212.1666, 5.7263e+03,   796,  0.92175 
  145,   3.3810, -18.5201,   3.2470,  -0.7349, 250.9455,  12.2414,   1.2887,   0.3048, 301.2944, 6.2720e+03,   796,  1.06014 
  146,   3.3850, -12.8539,  19.1032,  -0.4641, 234.8513,   1.1122,   3.8423,   1.1766, 1158.2809, 7.4816e+03,   796,  0.88364 
  147,   3.3890, -22.4777,  20.7105,   1.0751, 276.4698,   1.0913,   2.3542,   1.2215, 694.7003, 7.2477e+03,   796,  1.37916 
  149,   3.3970, -43.4486,  19.3389,   5.6985,  80.1644,   2.7637,   1.7645,   3.3137,  32.0653, 7.4565e+03,   796,  0.67094 
  150,   3.4010, -46.1553,  19.1543,   5.4667, 113.9532,   1.4187,   1.1349,   1.7326,  35.0424, 5.4164e+03,   796,  0.77054 
  151,   3.4050, -178.9445,  28.4760, 143.1454,  32.6657, 104.4745,   1.4852, 104.5031,   1.9110, 5.4410e+03,   796,  0.79140 
  152,   3.4090, -35.5719,  18.3819,   2.9634, 196.3210,   1.0683,   1.2670,   1.1315, 124.5200, 6.4248e+03,   796,  1.09079 
  153,   3.4130, -35.6961,  19.3224,   4.7642, 107.2758,   1.7087,   1.6992,   2.0926,  42.9536, 6.6671e+03,   796,  0.67044 
  154,   3.4170, -36.5687,  16.2113,   3.9942, 166.2556,   1.1696,   1.1525,   1.0958,  67.9314, 7.1574e+03,   796,  0.76739 
  155,   3.4210, -41.9880,  23.0148,  12.7210,  61.2609,   8.7807,   3.5801,   9.4687,  20.6411, 7.7022e+03,   796,  0.86841 
  156,   3.4250, -38.6619,  19.8185,   7.2812,  87.2975,   2.6250,   2.0150,   3.1625,  27.9133, 7.9355e+03,   796,  0.85652 
  157,   3.4290, -47.5731,  23.2391,  16.3317,  49.9933,  17.4464,   4.4980,  18.1881,  19.3231, 7.5054e+03,   796,  0.78161 
