yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
  138,   3.3530,  81.0871,  34.4568, -47.4227,  50.0199, 162.8000,  14.2100, 163.4000,  30.5400, 6.2617e+03,   796,  0.91531 
  139,   3.3570,  48.9477,  23.9377,  -7.0818,  94.4396,   3.5190,   2.0110,   4.0400,  38.0100, 6.6385e+03,   796,  0.93497 
  140,   3.3610, 136.4600,  32.8746, -91.0224,  42.0870, 588.6000,  18.8000, 589.4000,  32.0600, 8.2596e+03,   796,  1.30202 
  141,   3.3650, 163.3570,  34.3446, -117.8910,  42.7826, 747.5000,  18.3400, 748.1000,  28.5600, 6.3030e+03,   796,  0.92834 
  142,   3.3690,  61.1936,  27.7573, -22.3171,  57.0611,  24.2700,   5.0790,  24.9700,  21.4500, 8.0900e+03,   796,  0.96269 
  144,   3.3770,  61.4825,  41.8079, -51.5546,  50.2672, 1432.0000,  93.2400, 1432.0000, 125.2000, 5.7272e+03,   796,  0.92190 
  145,   3.3810,   0.0000, -10.0551,   1.4257,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 5.7272e+03,   796,  0.96806 
  146,   3.3850, -16.5922,  22.0965,   3.9014,  22.9777,   0.0000, 3643.0000,   0.0000,   0.0000, 7.5136e+03,   796,  0.88742 
  147,   3.3890, -22.4810,  20.7146,   1.0787, 274.0240,   1.0940,   2.3600,   1.2280, 684.0000, 7.2476e+03,   796,  1.37916 
  149,   3.3970, -43.4363,  19.3301,   5.6819,  80.3189,   2.7520,   1.7630,   3.3010,  32.1700, 7.4565e+03,   796,  0.67094 
  150,   3.4010, -46.1546,  19.1534,   5.4653, 113.9790,   1.4190,   1.1360,   1.7330,  35.0800, 5.4164e+03,   796,  0.77054 
  151,   3.4050, -101.5970,  26.8544,  65.7419,  35.1305, 339.8000,  13.2500, 340.5000,  22.9100, 5.4429e+03,   796,  0.79168 
  152,   3.4090, -35.5728,  18.3796,   2.9623, 196.3780,   1.0680,   1.2670,   1.1320, 124.7000, 6.4248e+03,   796,  1.09079 
  153,   3.4130, -35.6954,  19.3181,   4.7607, 107.3190,   1.7080,   1.7000,   2.0920,  43.0100, 6.6671e+03,   796,  0.67044 
  154,   3.4170, -36.5688,  16.2102,   3.9933, 166.3070,   1.1690,   1.1530,   1.0960,  68.0300, 7.1574e+03,   796,  0.76739 
  155,   3.4210, -41.9759,  23.0099,  12.7079,  61.2894,   8.7660,   3.5810,   9.4530,  20.6400, 7.7022e+03,   796,  0.86841 
  156,   3.4250, -38.6565,  19.8143,   7.2741,  87.3608,   2.6220,   2.0150,   3.1590,  27.9500, 7.9355e+03,   796,  0.85652 
  157,   3.4290, -47.0517,  23.1288,  15.8010,  50.5550,  16.4100,   4.3890,  17.1500,  19.4200, 7.5054e+03,   796,  0.78161 
  158,   3.4330, -55.0436,  25.6636,  23.4288,  47.5469,  31.3200,   5.6750,  31.9900,  18.3000, 6.2614e+03,   796,  0.92572 
  159,   3.4370, -35.8024,  18.0896,   2.3719, 447.1360,   0.9821,   1.1200,   0.8156, 571.0000, 6.7034e+03,   796,  0.99413 
  160,   3.4410, -39.7586,  22.8055,   9.1274,  75.8695,   4.9170,   2.8310,   5.5250,  26.6000, 7.4032e+03,   796,  1.06960 
  161,   3.4450, -38.0860,  19.4016,   5.0335, 163.1480,   1.3010,   1.4590,   1.5230,  67.1700, 7.6149e+03,   796,  0.83337 
  162,   3.4490, -42.2521,  22.4485,   9.1267,  75.3876,   4.3470,   2.3680,   4.9040,  23.5900, 6.2075e+03,   796,  0.61557 
  163,   3.4530, -50.5459,  26.1022,  19.2443,  44.6216,  45.1400,   7.6050,  45.7900,  26.0800, 5.7092e+03,   796,  1.11304 
  164,   3.4570, -47.8997,  25.3679,  17.0662,  48.3754,  23.9600,   5.2370,  24.5500,  20.5100, 4.8246e+03,   796,  0.62879 
  165,   3.4610, -31.4646,  19.5619,   1.5346, 1164.3800,   0.8232,   1.1900,   0.6952, 4924.0000, 5.3784e+03,   796,  0.97454 
  166,   3.4650, -36.0318,  20.2929,   3.3612, 232.8980,   1.0560,   1.3720,   1.1960, 156.3000, 6.2912e+03,   796,  0.93677 
  168,   3.4730, -39.4603,  21.1128,   4.9244, 138.0430,   1.7280,   1.7610,   2.1160,  65.9900, 8.1344e+03,   796,  1.38149 
